open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,upper_band,middle_band,lower_band,macd_line,signal_line,histogram,adx,plus_di,minus_di,rsi,cci,momentum,obv,mfi,stoch_k,stoch_d,cmf
2017-09-19,296.0,300.0,277.41,284.0,1869.90852,1505865599999,535773.5652001,1896,789.82937,226839.7065421,386.85592772005117,301.9275,216.99907227994885,-15.477461360838845,-12.074320825356166,-3.403140535482679,44.731313422417394,14.990525214698804,32.46944419700773,48.265394167394916,-29.4715536540907,-12.740000000000009,155.2068599999975,64.00168315056706,61.1295681063123,57.417303405778405,0.028465211264238163
2017-09-20,284.01,294.0,275.91,282.0,1060.56734,1505951999999,302739.7337531,1431,566.64637,162290.4185872,373.0334081502614,296.788,220.54259184973867,-14.438753499612574,-12.547207360207448,-1.8915461394051256,44.19410336862351,14.486590785099704,31.65667013537845,47.84560755213321,-30.1493107953656,-11.5,-905.3604800000026,60.0888325807973,59.800664451827245,63.02768549280179,0.018464008284889737
2017-09-21,285.1,287.0,252.1,257.0,1912.55583,1506038399999,516193.1970608,2751,579.77742,156157.9954675,355.60927207332367,290.21500000000003,224.8207279266764,-15.454708839112072,-13.128707655988373,-2.326001183123699,44.11505762002495,13.540844841959746,34.043907232509326,42.83091017510448,-70.25968198665947,-40.30000000000001,-2817.9163100000023,56.667354394147885,45.42278127183787,55.45100460999248,0.009085651415402742
2017-09-22,258.0,272.97,253.01,264.0,1464.5125,1506124799999,382962.217943,2144,612.61937,160401.2878139,347.8292071020212,286.258,224.68679289797876,-15.516158648245778,-13.606197854439854,-1.909960793805924,44.041657996326286,13.017421535501756,32.72793509809927,44.58234318037796,-69.63329596841896,-29.95999999999998,-1353.4038100000023,59.82486205681915,57.849911618190596,54.35778578061858,0.03952442869702917
2017-09-23,259.99,286.23,255.11,285.93,2824.33572,1506211199999,788810.3244239,3901,841.43467,233418.256899,339.53325939440873,283.466,227.39874060559129,-13.63807905542177,-13.612574094636237,-0.02550496078553266,43.39084886308134,14.820989300009074,30.73322767949499,49.77378485692966,-22.554651918216948,9.019999999999982,1470.9319099999977,63.84651525134575,75.47003053189782,59.58090780730877,0.07028145406834528
2017-09-24,286.5,294.61,275.0,282.0,5575.54422,1506297599999,1582877.4871329,8022,1314.52754,373569.556758,339.448148248438,283.37749999999994,227.30685175156194,-12.324733744173102,-13.35500602454361,1.0302722803705073,42.426552101831895,15.929597446008872,29.512579638787766,48.88989624584644,7.810444562155518,66.78999999999999,-4104.612310000002,70.4311495600882,72.31238952273824,68.5441105576089,0.09333475657745684
2017-09-25,282.0,299.0,281.34,294.42,5870.48035,1506383999999,1705551.9921018,9165,1950.58866,567363.4490881,337.26900466453674,282.49399999999997,227.7189953354632,-10.164537460497627,-12.716912311734413,2.5523748512367863,41.339669019632424,16.260774673127063,28.41793636842122,51.80283968391187,34.417472957657985,41.420000000000016,1765.8680399999976,70.83953733288199,82.29149927687614,76.6913064438374,0.05988695128043093
2017-09-26,294.42,296.81,286.24,287.9,4566.92804,1506470399999,1332125.1654396,7329,1073.93969,313528.6412562,329.46025298489576,280.13899999999995,230.81774701510412,-8.87635476006244,-11.948800801400019,3.072446041337578,40.33042044330434,15.881097128100638,27.75439772822897,50.1858139021247,39.646783545892696,38.589999999999975,-2801.060000000002,63.98059539857835,83.960777447032,79.5215554155488,-0.017786290259384108
2017-09-27,289.91,313.0,286.13,309.74,5518.10382,1506556799999,1641896.8743651,8208,1276.45702,380606.4657897,323.7445370403267,278.90149999999994,234.05846295967322,-6.023717547356114,-10.763784150591238,4.740066603235125,38.65629178835753,18.547034573709503,26.086870169044683,55.227381487201434,99.8483943210869,52.19,2717.043819999998,72.62157044035993,97.30578512396696,87.85268728262504,0.01411277911723224
2017-09-28,309.81,311.81,296.89,302.44,6600.90922,1506643199999,2009233.8887105,10534,2210.54916,674345.9209191,323.6585506397029,278.8739999999999,234.08944936029687,-4.302435200678985,-9.471514360608788,5.169079159929803,37.10174375162121,17.903795866719964,25.182138764665563,53.2861306786817,102.76501937787737,7.8700000000000045,-3883.8654000000015,86.85012974334649,91.27272727272728,90.84642994790875,-0.001153557401169583
2017-09-29,302.44,303.0,274.0,292.22,11089.19902,1506729599999,3213725.0903979,13098,5176.62946,1501566.8615152,323.11412220556207,278.64799999999997,234.18187779443787,-3.7200922202262063,-8.321229932532272,4.601137712306066,36.355035816929025,16.692024827447977,28.819990520175292,50.604323554367944,47.74142308657771,8.220000000000027,-14973.064420000002,69.79951197421204,73.18363659827078,87.25404966498833,0.019154427308344088
2017-09-30,292.62,307.49,292.22,304.36,4020.60795,1506815999999,1214456.8380462,8168,1645.11941,497660.508059,324.6240456386107,279.1909999999999,233.75795436138912,-2.2530133355954263,-7.107586613144903,4.854573277549477,35.44277982065754,17.161875760718818,27.754771694560702,53.59216235034487,88.91631894774257,22.360000000000014,-10952.456470000003,67.39168178142613,88.3211678832117,84.25917725140324,0.019731705598038104
2017-10-01,305.13,306.0,294.0,303.95,5060.05758,1506902399999,1518988.30299,8900,1496.73509,449595.1195591,325.57492615598494,279.5234999999999,233.47207384401486,-1.1106237440972677,-5.908194039335376,4.797570295238108,34.59568496697688,16.641328825320453,26.91292540982337,53.47451965386965,86.54180895048313,46.94999999999999,-16012.514050000002,59.53500810289143,85.13957307060753,82.21479251736334,0.03929287051655552
2017-10-02,303.94,305.0,295.0,296.5,3710.83747,1506988799999,1116501.2248122,7454,1398.52021,421273.0243823,325.8741642749155,279.6504999999999,233.42683572508435,-0.7972344773212399,-4.886002126932548,4.088767649611309,33.809096888559125,16.200344821546846,26.199751015815455,51.272091145497036,76.81927522343686,32.5,-19723.35152,53.16709635283552,72.90640394088669,82.12238163156863,0.038706279105516855
2017-10-03,298.15,301.99,283.18,292.48,5546.85702,1507075199999,1622460.7267746,9327,2105.27684,616540.7336968,326.9652228377002,280.4289999999999,233.89277716229967,-0.8633000434958831,-4.0814617102452155,3.2181616667493325,33.480933033452715,15.375021631007701,28.066325612808303,50.07364479880143,48.27182800004732,6.550000000000011,-25270.20854,47.28764384000976,66.30541871921186,74.78379857690202,0.0349950538594393
2017-10-04,292.47,297.97,288.0,291.99,4014.88792,1507161599999,1176260.2171869,7233,2030.795,596758.0568808,320.0827470185122,284.2679999999999,248.45325298148768,-0.944310956669824,-3.4540315595301374,2.5097206028603134,33.17620945371105,14.940553891452947,27.273226693063535,49.92047575850893,44.77198246870684,9.990000000000009,-29285.09646,51.13015652214622,65.50082101806241,68.23754789272031,0.15057529739775619
2017-10-05,290.0,297.44,285.53,294.81,3412.39016,1507247999999,994768.4954065,6125,1684.82069,492521.5792853,319.40247874046133,286.35849999999994,253.31452125953854,-0.77206240195801,-2.9176377280157118,2.1455753260577017,32.98196755163496,14.416468594696088,27.044014461304407,50.85223407920251,39.736154453944685,0.38999999999998636,-25872.7063,49.89463444369576,69.67827971328556,67.16150648351993,0.10521726160596565
2017-10-06,294.78,310.8,293.78,310.8,3541.02359,1507334399999,1063779.3539251,6064,1965.17959,590729.7618607,319.4172199164849,289.4329999999999,259.44878008351486,0.647244156884085,-2.2046613510357522,2.851905507919837,31.937516141499295,17.69857125786532,25.658839098764407,55.86637696113742,107.48729790205036,22.900000000000034,-22331.68271,53.38709801068225,96.19968906546902,77.12626326560566,0.18325160103901797
2017-10-07,309.9,318.5,303.6,311.01,2165.79076,1507420799999,672026.6685328,4289,1031.34817,320575.6411122,319.67921120218364,292.1059999999999,264.5327887978161,1.7686126100295496,-1.4100065588226918,3.1786191688522414,30.50756164146902,19.263801752936068,24.476883620724994,55.92996739825945,143.65336595906044,1.2699999999999818,-20165.89195,53.152556611668544,83.16853932584267,83.01550270153241,0.16313070009213748
2017-10-08,311.08,317.07,309.0,311.07,2960.93198,1507507199999,923989.787554,6247,1069.23508,334539.357012,321.7107129242127,292.9309999999999,264.15128707578714,2.6318088327499822,-0.6016434805081569,3.233452313258139,29.179746748583764,18.759763584118097,23.836444949439326,55.94949683607378,134.75367487675857,8.629999999999995,-17204.95997,51.63059644342639,83.30337078651684,87.55719972594284,0.12181582196929387
2017-10-09,311.13,312.13,286.65,297.19,4885.37863,1507593599999,1462524.6249531,8680,1575.93338,472759.5852128,322.124819319027,293.5904999999999,265.05618068097283,2.1708735789525804,-0.04714006861600939,2.21801364756859,28.920951387920816,17.22710864251062,29.05533237945241,50.386792445487714,38.800233639650564,4.96999999999997,-22090.3386,43.7221482634198,52.11235955056179,72.86142322097376,0.11678051008048002
